fruit_id,name,family,calories,sugar,carbohydrates,protein,fat,predicted_calories_lr,predicted_calories_rf,error_lr,error_rf
1,Banana,Musaceae,96.0,17.2,22.0,1.0,0.2,86.35,90.77,-9.65,-5.23
2,Orange,Rutaceae,43.0,8.2,8.3,1.0,0.2,39.35,40.03,-3.65,-2.97
3,Strawberry,Rosaceae,29.0,5.4,5.5,0.8,0.4,31.03,32.87,2.03,3.87
4,Pear,Rosaceae,57.0,10.0,15.0,0.4,0.1,60.05,58.13,3.05,1.13
5,Tomato,Solanaceae,74.0,2.6,3.9,0.9,0.2,23.54,53.01,-50.46,-20.99
6,Apple,Rosaceae,52.0,10.3,11.4,0.3,0.4,50.78,48.34,-1.22,-3.66
9,Cherry,Rosaceae,50.0,8.0,12.0,1.0,0.3,52.37,48.38,2.37,-1.62
10,Pineapple,Bromeliaceae,50.0,9.85,13.12,0.54,0.12,54.21,49.63,4.21,-0.37
23,Raspberry,Rosaceae,53.0,4.4,12.0,1.2,0.7,55.44,49.5,2.44,-3.5
25,Watermelon,Cucurbitaceae,30.0,6.0,8.0,0.6,0.2,37.33,35.49,7.33,5.49
26,Lemon,Rutaceae,29.0,2.5,9.0,1.1,0.3,41.48,38.16,12.48,9.16
27,Mango,Anacardiaceae,60.0,13.7,15.0,0.82,0.38,63.91,60.92,3.91,0.92
33,Blueberry,Rosaceae,29.0,5.4,5.5,0.0,0.4,29.9,31.56,0.9,2.56
35,Apricot,Rosaceae,15.0,3.2,3.9,0.5,0.1,22.22,27.14,7.22,12.14
37,Guava,Myrtaceae,68.0,9.0,14.0,2.6,1.0,67.64,68.04,-0.36,0.04
41,Melon,Cucurbitaceae,34.0,8.0,8.0,0.0,0.0,35.13,33.9,1.13,-0.1
42,Papaya,Caricaceae,39.0,4.4,5.8,0.5,0.3,30.5,33.98,-8.5,-5.02
44,Lime,Rutaceae,25.0,1.7,8.4,0.3,0.1,36.43,31.94,11.43,6.94
52,Persimmon,Ebenaceae,81.0,18.0,18.0,0.0,0.0,70.17,76.25,-10.83,-4.75
60,Durian,Malvaceae,147.0,6.75,27.1,1.5,5.3,146.83,127.46,-0.17,-19.54
64,Blackberry,Rosaceae,40.0,4.5,9.0,1.3,0.4,43.07,41.04,3.07,1.04
65,Lingonberry,Ericaceae,50.0,5.74,11.3,0.75,0.34,49.59,46.59,-0.41,-3.41
66,Kiwi,Actinidiaceae,61.0,9.0,15.0,1.1,0.5,64.37,60.96,3.37,-0.04
67,Lychee,Sapindaceae,66.0,15.0,17.0,0.8,0.44,71.27,67.23,5.27,1.23
68,Fig,Moraceae,74.0,16.0,19.0,0.8,0.3,76.83,74.38,2.83,0.38
69,Gooseberry,Grossulariaceae,44.0,0.0,10.0,0.9,0.6,46.61,44.18,2.61,0.18
70,Passionfruit,Passifloraceae,97.0,11.2,22.4,2.2,0.7,92.53,96.51,-4.47,-0.49
71,Plum,Rosaceae,46.0,9.92,11.4,0.7,0.28,50.2,47.07,4.2,1.07
72,GreenApple,Rosaceae,21.0,6.4,3.1,0.4,0.1,20.12,27.13,-0.88,6.13
76,Feijoa,Myrtaceae,44.0,3.0,8.0,0.6,0.4,38.47,38.49,-5.53,-5.51
77,Tangerine,Rutaceae,45.0,9.1,8.3,0.0,0.4,39.9,40.78,-5.1,-4.22
78,Pitahaya,Cactaceae,36.0,3.0,7.0,1.0,0.4,35.75,38.33,-0.25,2.33
79,Pomegranate,Lythraceae,83.0,13.7,18.7,1.7,1.2,84.6,82.27,1.6,-0.73
80,Dragonfruit,Cactaceae,60.0,8.0,9.0,9.0,1.5,64.46,121.63,4.46,61.63
81,Grape,Vitaceae,69.0,16.0,18.1,0.72,0.16,72.51,71.76,3.51,2.76
82,Morus,Moraceae,43.0,8.1,9.8,1.44,0.39,46.58,44.9,3.58,1.9
84,Avocado,Lauraceae,160.0,0.66,8.53,2.0,14.66,168.1,129.51,8.1,-30.49
85,Kiwifruit,Actinidiaceae,61.0,8.9,14.6,1.14,0.5,63.09,60.61,2.09,-0.39
86,Peach,Rosaceae,39.0,8.4,9.5,0.9,0.25,43.65,40.93,4.65,1.93
87,Cranberry,Ericaceae,46.0,4.0,12.2,0.4,0.1,49.56,42.32,3.56,-3.68
94,Jackfruit,Moraceae,95.0,19.1,23.2,1.72,0.0,89.95,94.5,-5.05,-0.5
95,Horned Melon,Cucurbitaceae,44.0,0.5,7.56,1.78,1.26,45.79,46.32,1.79,2.32
96,Hazelnut,Betulaceae,628.0,4.3,17.0,15.0,61.0,625.89,464.64,-2.11,-163.36
98,Pomelo,Rutaceae,37.0,8.5,9.67,0.82,0.0,41.9,38.2,4.9,1.2
99,Mangosteen,Clusiaceae,73.0,16.11,17.91,0.41,0.58,75.19,72.65,2.19,-0.35
100,Pumpkin,Cucurbitaceae,25.0,3.3,4.6,1.1,0.3,27.16,38.87,2.16,13.87
101,Japanese Persimmon, Ebenaceae,70.0,13.0,19.0,0.6,0.2,75.02,73.01,5.02,3.01
103,Annona,Annonaceae,92.0,3.4,19.1,1.5,0.29,75.39,88.47,-16.61,-3.53
104,Ceylon Gooseberry,Salicaceae,47.0,8.1,9.6,1.2,0.3,44.78,43.4,-2.22,-3.6
